     Lat[deg]     Lon[deg]   Disp_north    Disp_east    Disp_down    Stress_nn    Stress_ee    Stress_dd    Stress_ne    Stress_ed    Stress_dn       Tilt_n       Tilt_e     Rotation        Geoid      Gravity      CFS_Max      CFS_Mas  CFS_Mas_Opt    Sigma_Mas Rake_Mas_Opt      CFS_Opt  Sigma_Opt_1 Strike_Opt_1    Dip_Opt_1   Rake_Opt_1  Sigma_Opt_2 Strike_Opt_2    Dip_Opt_2   Rake_Opt_2
    30.000000   102.000000 -0.63552E-02  0.17146E-01  0.13493E-01  0.22951E+04 -0.94111E+04  0.59258E+02  0.79651E+04  0.12967E+03 -0.74754E+03 -0.86135E-09 -0.18178E-06  0.24508E-06  0.00000E+00  0.41596E-07  0.51060E+04  0.51052E+04  0.51055E+04 -0.25187E+04  0.12002E+03  0.51069E+04 -0.25171E+04  0.22904E+03  0.33011E+02  0.12003E+03 -0.18531E+04  0.35360E+03  0.29855E+02  0.56790E+02
    30.060000   102.000000 -0.59266E-02  0.19830E-01  0.13305E-01  0.30917E+04 -0.88241E+04  0.75041E+02  0.96222E+04  0.24558E+02 -0.93466E+03  0.73208E-08 -0.19504E-06  0.27142E-06  0.00000E+00  0.41017E-07  0.53298E+04  0.53282E+04  0.53286E+04 -0.27188E+04  0.12002E+03  0.53314E+04 -0.27162E+04  0.22906E+03  0.33015E+02  0.12004E+03 -0.14962E+04  0.35360E+03  0.29856E+02  0.56778E+02
    30.120000   102.000000 -0.54434E-02  0.22896E-01  0.13015E-01  0.39069E+04 -0.78560E+04  0.94616E+02  0.11542E+05 -0.12253E+03 -0.11509E+04  0.16617E-07 -0.20885E-06  0.29989E-06  0.00000E+00  0.40122E-07  0.55072E+04  0.55043E+04  0.55047E+04 -0.29467E+04  0.12002E+03  0.55101E+04 -0.29427E+04  0.22908E+03  0.33020E+02  0.12005E+03 -0.99012E+03  0.35360E+03  0.29858E+02  0.56765E+02
    30.180000   102.000000 -0.49149E-02  0.26389E-01  0.12609E-01  0.47039E+04 -0.64032E+04  0.11871E+03  0.13735E+05 -0.32212E+03 -0.13967E+04  0.27038E-07 -0.22314E-06  0.33036E-06  0.00000E+00  0.38869E-07  0.56117E+04  0.56068E+04  0.56072E+04 -0.32038E+04  0.12002E+03  0.56167E+04 -0.31982E+04  0.22911E+03  0.33025E+02  0.12006E+03 -0.29956E+03  0.35361E+03  0.29860E+02  0.56749E+02
    30.240000   102.000000 -0.43567E-02  0.30352E-01  0.12072E-01  0.54342E+04 -0.43486E+04  0.14809E+03  0.16194E+05 -0.58590E+03 -0.16707E+04  0.38558E-07 -0.23782E-06  0.36259E-06  0.00000E+00  0.37214E-07  0.56093E+04  0.56011E+04  0.56014E+04 -0.34891E+04  0.12002E+03  0.56175E+04 -0.34817E+04  0.22915E+03  0.33031E+02  0.12007E+03  0.61386E+03  0.35362E+03  0.29861E+02  0.56732E+02
    30.300000   102.000000 -0.37919E-02  0.34824E-01  0.11391E-01  0.60382E+04 -0.15662E+04  0.18350E+03  0.18894E+05 -0.92612E+03 -0.19689E+04  0.51111E-07 -0.25276E-06  0.39620E-06  0.00000E+00  0.35116E-07  0.54579E+04  0.54449E+04  0.54451E+04 -0.37983E+04  0.12001E+03  0.54709E+04 -0.37893E+04  0.22919E+03  0.33038E+02  0.12008E+03  0.17897E+04  0.35363E+03  0.29863E+02  0.56713E+02
    30.360000   102.000000 -0.32522E-02  0.39839E-01  0.10556E-01  0.64488E+04  0.20709E+04  0.22560E+03  0.21780E+05 -0.13546E+04 -0.22843E+04  0.64585E-07 -0.26784E-06  0.43063E-06  0.00000E+00  0.32540E-07  0.51083E+04  0.50883E+04  0.50884E+04 -0.41220E+04  0.12001E+03  0.51282E+04 -0.41121E+04  0.22923E+03  0.33046E+02  0.12009E+03  0.32654E+04  0.35365E+03  0.29864E+02  0.56693E+02
    30.420000   102.000000 -0.27783E-02  0.45417E-01  0.95563E-02  0.65963E+04  0.66784E+04  0.27487E+03  0.24763E+05 -0.18816E+04 -0.26061E+04  0.78826E-07 -0.28291E-06  0.46519E-06  0.00000E+00  0.29460E-07  0.45053E+04  0.44758E+04  0.44758E+04 -0.44445E+04  0.12000E+03  0.45349E+04 -0.44352E+04  0.22928E+03  0.33054E+02  0.12011E+03  0.50718E+04  0.35367E+03  0.29865E+02  0.56673E+02
    30.480000   102.000000 -0.24190E-02  0.51561E-01  0.83886E-02  0.64169E+04  0.12345E+05  0.33148E+03  0.27721E+05 -0.25140E+04 -0.29200E+04  0.93642E-07 -0.29777E-06  0.49896E-06  0.00000E+00  0.25860E-07  0.35920E+04  0.35496E+04  0.35499E+04 -0.47429E+04  0.11999E+03  0.36343E+04 -0.47367E+04  0.22934E+03  0.33062E+02  0.12012E+03  0.72279E+04  0.35370E+03  0.29865E+02  0.56653E+02
    30.540000   102.000000 -0.22302E-02  0.58253E-01  0.70528E-02  0.58629E+04  0.19116E+05  0.39518E+03  0.30495E+05 -0.32535E+04 -0.32082E+04  0.10881E-06 -0.31224E-06  0.53092E-06  0.00000E+00  0.21742E-07  0.23141E+04  0.22555E+04  0.22564E+04 -0.49868E+04  0.11997E+03  0.23727E+04 -0.49877E+04  0.22939E+03  0.33070E+02  0.12013E+03  0.97355E+04  0.35373E+03  0.29865E+02  0.56634E+02
    30.600000   102.000000 -0.22710E-02  0.65448E-01  0.55547E-02  0.49140E+04  0.26973E+05  0.46523E+03  0.32905E+05 -0.40952E+04 -0.34507E+04  0.12408E-06 -0.32605E-06  0.55993E-06  0.00000E+00  0.17124E-07  0.62736E+03  0.54891E+03  0.55144E+03 -0.51395E+04  0.11996E+03  0.70572E+03 -0.51525E+04  0.22945E+03  0.33077E+02  0.12013E+03  0.12574E+05  0.35377E+03  0.29864E+02  0.56617E+02
    30.660000   102.000000 -0.25997E-02  0.73073E-01  0.39066E-02  0.35863E+04  0.35824E+05  0.54033E+03  0.34754E+05 -0.50263E+04 -0.36272E+04  0.13920E-06 -0.33894E-06  0.58482E-06  0.00000E+00  0.12043E-07 -0.14955E+04 -0.15967E+04 -0.15915E+04 -0.51607E+04  0.11994E+03 -0.13944E+04 -0.51918E+04  0.22951E+03  0.33084E+02  0.12014E+03  0.15696E+05  0.35381E+03  0.29862E+02  0.56603E+02
    30.720000   102.000000 -0.32689E-02  0.81025E-01  0.21270E-02  0.19376E+04  0.45494E+05  0.61864E+03  0.35859E+05 -0.60259E+04 -0.37187E+04  0.15391E-06 -0.35056E-06  0.60447E-06  0.00000E+00  0.65568E-08 -0.40577E+04 -0.41836E+04 -0.41742E+04 -0.50101E+04  0.11992E+03 -0.39318E+04 -0.50655E+04  0.22956E+03  0.33089E+02  0.12014E+03  0.19029E+05  0.35385E+03  0.29860E+02  0.56593E+02
    30.780000   102.000000 -0.43191E-02  0.89174E-01  0.23965E-03  0.66318E+02  0.55733E+05  0.69786E+03  0.36064E+05 -0.70657E+04 -0.37104E+04  0.16793E-06 -0.36058E-06  0.61790E-06  0.00000E+00  0.73876E-09 -0.70336E+04 -0.71844E+04 -0.71695E+04 -0.46526E+04  0.11990E+03 -0.68827E+04 -0.47379E+04  0.22961E+03  0.33092E+02  0.12014E+03  0.22479E+05  0.35390E+03  0.29857E+02  0.56589E+02
    30.840000   102.000000 -0.57745E-02  0.97372E-01 -0.17268E-02 -0.18967E+04  0.66227E+05  0.77545E+03  0.35265E+05 -0.81123E+04 -0.35931E+04  0.18102E-06 -0.36862E-06  0.62438E-06  0.00000E+00 -0.53233E-08 -0.10367E+05 -0.10541E+05 -0.10519E+05 -0.40632E+04  0.11987E+03 -0.10193E+05 -0.41825E+04  0.22965E+03  0.33094E+02  0.12013E+03  0.25934E+05  0.35394E+03  0.29854E+02  0.56589E+02
    30.900000   102.000000 -0.76395E-02  0.10546E+00 -0.37409E-02 -0.38027E+04  0.76629E+05  0.84877E+03  0.33422E+05 -0.91296E+04 -0.33650E+04  0.19289E-06 -0.37432E-06  0.62345E-06  0.00000E+00 -0.11532E-07 -0.13974E+05 -0.14167E+05 -0.14139E+05 -0.32312E+04  0.11985E+03 -0.13780E+05 -0.33861E+04  0.22968E+03  0.33093E+02  0.12013E+03  0.29276E+05  0.35398E+03  0.29851E+02  0.56594E+02
    30.960000   102.000000 -0.98970E-02  0.11326E+00 -0.57698E-02 -0.55026E+04  0.86586E+05  0.91535E+03  0.30567E+05 -0.10082E+05 -0.30319E+04  0.20329E-06 -0.37738E-06  0.61498E-06  0.00000E+00 -0.17787E-07 -0.17749E+05 -0.17956E+05 -0.17920E+05 -0.21621E+04  0.11984E+03 -0.17541E+05 -0.23515E+04  0.22969E+03  0.33091E+02  0.12012E+03  0.32391E+05  0.35401E+03  0.29849E+02  0.56604E+02
    31.020000   102.000000 -0.12510E-01  0.12063E+00 -0.77806E-02 -0.68644E+04  0.95771E+05  0.97311E+03  0.26797E+05 -0.10938E+05 -0.26062E+04  0.21198E-06 -0.37756E-06  0.59919E-06  0.00000E+00 -0.23985E-07 -0.21574E+05 -0.21788E+05 -0.21745E+05 -0.87820E+03  0.11982E+03 -0.21359E+05 -0.10976E+04  0.22970E+03  0.33086E+02  0.12011E+03  0.35177E+05  0.35404E+03  0.29847E+02  0.56619E+02
    31.080000   102.000000 -0.15423E-01  0.12742E+00 -0.97425E-02 -0.77876E+04  0.10391E+06  0.10204E+04  0.22263E+05 -0.11673E+05 -0.21054E+04  0.21872E-06 -0.37474E-06  0.57658E-06  0.00000E+00 -0.30033E-07 -0.25329E+05 -0.25542E+05 -0.25495E+05  0.58458E+03  0.11981E+03 -0.25114E+05  0.34181E+03  0.22969E+03  0.33080E+02  0.12009E+03  0.37553E+05  0.35405E+03  0.29845E+02  0.56637E+02
